instrument,genre,file_name,split
cello,pop_roc,[cel][pop_roc]0132__1,train
cello,pop_roc,[cel][pop_roc]0062__1,train
cello,pop_roc,[cel][pop_roc]0093__2,train
cello,pop_roc,[cel][pop_roc]0143__3,train
cello,pop_roc,[cel][pop_roc]0096__3,train
cello,pop_roc,[cel][pop_roc]0137__2,train
cello,pop_roc,[cel][pop_roc]0133__1,train
cello,pop_roc,[cel][pop_roc]0088__1,train
cello,pop_roc,[cel][pop_roc]0142__1,train
cello,pop_roc,[cel][pop_roc]0006__1,train
cello,pop_roc,[cel][pop_roc]0097__3,train
cello,pop_roc,[cel][pop_roc]0063__3,train
cello,pop_roc,[cel][pop_roc]0098__1,train
cello,pop_roc,[cel][pop_roc]0136__2,train
cello,pop_roc,[cel][pop_roc]0092__1,train
cello,pop_roc,[cel][pop_roc]0016__2,train
cello,pop_roc,[cel][pop_roc]0127__2,train
cello,pop_roc,[cel][pop_roc]0118__2,train
cello,pop_roc,[cel][pop_roc]0016__3,train
cello,pop_roc,[cel][pop_roc]0096__1,train
cello,pop_roc,[cel][pop_roc]0091__3,train
cello,pop_roc,[cel][pop_roc]0132__3,train
cello,pop_roc,[cel][pop_roc]0102__1,train
cello,pop_roc,[cel][pop_roc]0062__2,train
cello,pop_roc,[cel][pop_roc]0018__2,train
cello,pop_roc,[cel][pop_roc]0095__3,train
cello,pop_roc,[cel][pop_roc]0140__2,train
cello,pop_roc,[cel][pop_roc]0140__1,train
cello,pop_roc,[cel][pop_roc]0100__3,train
cello,pop_roc,[cel][pop_roc]0102__2,train
cello,pop_roc,[cel][pop_roc]0130__3,train
cello,pop_roc,[cel][pop_roc]0111__2,train
cello,pop_roc,[cel][pop_roc]0134__3,train
cello,pop_roc,[cel][pop_roc]0134__2,train
cello,pop_roc,[cel][pop_roc]0091__2,train
cello,pop_roc,[cel][pop_roc]0139__2,train
cello,pop_roc,[cel][pop_roc]0092__2,train
cello,pop_roc,[cel][pop_roc]0126__1,train
cello,pop_roc,[cel][pop_roc]0133__3,train
cello,pop_roc,[cel][pop_roc]0136__1,train
cello,pop_roc,[cel][pop_roc]0099__1,train
cello,pop_roc,[cel][pop_roc]0138__1,train
cello,pop_roc,[cel][pop_roc]0060__1,train
cello,pop_roc,[cel][pop_roc]0118__3,train
cello,pop_roc,[cel][pop_roc]0126__3,train
cello,pop_roc,[cel][pop_roc]0141__1,train
cello,pop_roc,[cel][pop_roc]0014__3,train
cello,pop_roc,[cel][pop_roc]0063__1,train
cello,pop_roc,[cel][pop_roc]0014__2,train
cello,pop_roc,[cel][pop_roc]0099__3,train
cello,pop_roc,[cel][pop_roc]0120__1,train
cello,pop_roc,[cel][pop_roc]0126__2,train
cello,pop_roc,[cel][pop_roc]0118__1,train
